id,submitted_date,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4403,10/08/2021,Male,Malay,23,KUL,SRC,S.UTAMA,Y-135LC AC,9290,930,48,1720.29,1614.04,0,244,8360,0,,4,0.8999,rejected
4404,10/08/2021,Male,Indian,22,JHR,GOODS,S.UTAMA,Y-135LC AC,9290,930,48,1625,1189,0,244,8360,0,,2,0.8999,rejected
4405,10/08/2021,Female,Malay,35,JHR,OTH,PANGLIMA,Y-115Z(UE15),7630,770,48,2007,1800,0,201,6860,0,,3,0.8991,rejected
4406,11/08/2021,Male,Malay,38,SGR,SALE,S.BULOH,H-RS150R TRICO,11090,1130,36,2100,1856,233,360,9960,0.3193,1263.33,6,0.8981,approved
4407,11/08/2021,Male,Indian,34,KUL,SRC,PUCHONG,H-DASHR152,8370,840,48,1700,1500,0,220,7530,0,,3,0.8996,rejected
4408,11/08/2021,Male,Malay,33,PRK,SRC,PANGLIMA,H-WAVEAL,6280,630,48,2000,1000,0,165,5650,0,,4,0.8997,rejected
4409,13/08/2021,Male,Malay,28,KTN,OTH,SENTOSA,H-DASHR152,8370,840,36,2000,1900,0,272,7530,0,,7,0.8996,cancelled
4410,25/08/2021,Male,Indian,23,PNG,MNC,R.PANJANG,Y-115Z(UE15),7630,770,48,1246.15,1098,0,201,6860,0,,0,0.8991,cancelled
4411,11/08/2021,Male,Chinese,19,KUL,SRC,SUBANG,H-DASHR152,8370,860,48,1450,1200,0,220,7510,0.1825,980.96,0,0.8973,stockout
4413,11/08/2021,Male,Malay,34,SBH,SRC,MERU,H-RS150R TRICO,11090,2400,36,3150,3000,0,314,8690,0,,4,0.7836,rejected
4414,11/08/2021,Male,Malay,20,KDH,SRC,MERU,H-RS150R TRICO,11090,1500,48,1650,1264,0,280,9590,0.2213,984.29,5,0.8647,reverted
4415,11/08/2021,Male,Malay,32,JHR,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,2810.43,1023.03,0,292,9980,0,,3,0.8999,rejected
4416,11/08/2021,Male,Malay,35,KTN,SRC,SRI KBGAN,H-DASHR152,8370,840,48,1500,1400,251,220,7530,0.3362,929.38,7,0.8996,stockout
4417,12/08/2021,Female,Indian,21,KUL,SRC,PUCHONG,Y-135LC AC,9690,970,48,1630,1629,0,255,8720,0,,0,0.8999,rejected
4418,12/08/2021,Female,Indian,18,SGR,EDU,KAPAR,Y-Y15ZR,11710,1690,48,1999,1729,0,293,10020,0.169,1436.75,0,0.8557,rejected
4419,12/08/2021,Female,Indian,20,KUL,EDU,KAPAR,Y-Y15ZR,11710,1690,48,1857.69,1613.89,0,293,10020,0,,0,0.8557,rejected
4420,12/08/2021,Female,Malay,20,SBH,EDU,KAPAR,Y-EGOSO,7320,730,36,2687.98,2543.43,0,238,6590,0,,2,0.9003,rejected
4421,13/08/2021,Male,Malay,32,KTN,MNC,SA,Y-NVXABS,14420,2400,48,1500,1330,0,351,12020,0.2636,979.42,0,0.8336,approved
4422,13/08/2021,Male,Malay,18,KUL,SRC,SA,H-RS150R TRICO,11090,1110,48,2000,1500,0,292,9980,0.1941,1208.92,0,0.8999,approved
4423,22/08/2021,Male,Malay,26,SGR,MNC,SA,Y-Y15ZR,11710,1690,48,1620,1400,0,293,10020,0.2088,1107.75,5,0.8557,approved
4424,12/08/2021,Male,Malay,19,KUL,SRC,RAWANG,H-RS150R TRICO,11090,1110,48,1500,1350,0,292,9980,0.2156,1058.92,0,0.8999,approved
4426,12/08/2021,Male,Malay,24,KTN,MNC,PANGLIMA,Y-Y15ZR,11710,1690,24,1615,1450.15,0,501,10020,0,,4,0.8557,rejected
4427,12/08/2021,Female,Malay,23,SGR,TRD,S.BULOH,H-DASHR152,8370,860,48,1200,1100,0,220,7510,0.1991,880.96,0,0.8973,reverted
4428,12/08/2021,Male,Indian,58,PRK,OTH,S.UTAMA,H-DASHR152,8370,840,48,1800,1189,0,220,7530,0,,0,0.8996,rejected
