id,Date,Dealer,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4825,29/08/2021,GTM,Male,Malay,20,SBH,OTH,SS,Y-Y15ZR,11710,1690,48,1500,1499,0,293,10020,0,,0,0.8557,rejected
4826,29/08/2021,GTM,Male,Malay,20,SBH,TRD,S.BULOH,H-RS150R TRICO,11090,1130,48,1690,1511,0,291,9960,0.1923,1220.5,0,0.8981,archived
4827,29/08/2021,GTM,Male,Malay,21,SGR,SRC,K.SELANGOR,Y-115Z(UE15),7630,1900,48,2800,2240,0,168,5730,0.0746,2072.88,0,0.751,reverted
4828,29/08/2021,GTM,Male,Malay,18,SGR,OTH,SUBANG,Y-EGOAV,7650,770,48,1839,1709,0,201,6880,0,,5,0.8993,reverted
4829,29/08/2021,GTM,Male,Malay,22,SGR,SRC,S.BULOH,H-VARIO150,9770,1000,48,1450,1250,0,256,8770,0.2046,994.21,6,0.8976,approved
4830,30/08/2021,GTM,Male,Malay,27,SGR,SRC,SA,Y-135LC AC,9290,3000,24,2250,2076,0,315,6290,0.1515,1761.5,0,0.6771,approved
4831,29/08/2021,GTM,Female,Malay,36,KUL,BKFN,SA,H-BEAT(ACH110),7520,750,48,5945,2708,863,198,6770,0.3916,1647.54,7,0.9003,approved
4832,29/08/2021,GTM,Male,Malay,53,PLS,MNC,SA,H-RS150R TRICO,11090,1110,48,2316,1787,0,292,9980,0,,4,0.8999,rejected
4833,29/08/2021,GTM,Female,Malay,46,PRK,BKFN,S.BULOH,Y-Y15ZR,11710,1710,48,5343,2742,0,292,10000,0,,4,0.854,rejected
4834,29/08/2021,GTM,Male,Malay,39,PRK,SRC,PUCHONG,H-RS150R TRICO,11090,1110,48,1950,1800,0,292,9980,0,,7,0.8999,reverted
4835,29/08/2021,GTM,Male,Indian,25,SGR,SRC,K.SELANGOR,Y-135LC AC,9290,930,48,2000,1800,0,244,8360,0.1355,1556.17,6,0.8999,approved
